ID;ELO_coeff;Name;Total points;Latest change;28.02.2026;07.03.2026
7;40;Marton;2646;0;2646;2646
301;40;Manuel;2500;0;2500;2500
167;40;Mauricio;2476;0;2476;2476
3;40;Vladlen;2411;0;2411;2411
1;40;Andrej;2377;0;2377;2377
153;40;Nikola;2357;0;2357;2357
124;40;Arthur;2356;0;2356;2356
237;40;Laura;2340;0;2340;2340
2;40;Armen;2334;-8;2322;2334
255;40;Markus P.;2312;48;2264;2312
206;40;Fernando;2300;0;2300;2300
5;40;Sasha;2299;0;2299;2299
283;40;Thomas G.;2268;0;2268;2268
181;40;Luis;2246;0;2246;2246
139;40;Alexander S.;2146;-24;2170;2146
10;40;Lai Ao;2142;0;2142;2142
13;40;Amin;2132;0;2132;2132
12;40;Marcelo;2106;0;2106;2106
156;40;Ilya;2104;0;2084;2104
318;40;Michael Z.;2104;4;2100;2104
11;40;Gleb K.;2095;0;2095;2095
202;40;Wolfgang;2036;0;2036;2036
17;40;Uliana;2007;0;2007;2007
214;60;Christian;1974;0;1974;1974
154;40;Anna;1987;0;1987;1987
245;40;Emanuel;1974;0;1974;1974
9;40;Paul;1955;0;1955;1955
184;60;Urska;1948;0;1948;1948
211;40;Cristian;1930;0;1930;1930
280;60;Mario;1920;0;1920;1920
204;50;Karl;1908;0;1908;1908
123;60;Jacqueline;1889;0;1889;1889
275;50;Michael;1855;25;1830;1855
16;40;Aleksei V.;1832;0;1832;1832
178;50;Thomas;1823;-30;1853;1823
256;60;Daniel;1816;0;1816;1816
285;50;Felix;1801;25;1776;1801
317;60;Ahmed E.;1801;1;1800;1801
286;60;Dennis;1792;0;1792;1792
198;40;George;1784;0;1734;1784
270;60;Markus Q.;1782;0;1782;1782
185;50;Anna V.;1744;0;1744;1744
205;60;Silvia;1740;0;1740;1740
108;50;Sigge;1737;0;1737;1737
105;40;Farhan;1717;0;1717;1717
302;60;Roland;1700;0;1700;1700
297;60;Soumi;1698;6;1692;1698
43;40;Arbab;1692;0;1692;1692
187;50;Federico;1652;0;1652;1652
203;60;Jonathan;1642;0;1642;1642
257;60;Maximilian;1640;0;1640;1640
284;60;Eva;1638;24;1614;1638
231;40;Stefan;1622;0;1622;1622
239;60;Hauke;1612;0;1612;1612
250;40;Octavian;1608;0;1558;1608
312;60;Lucas;1578;-102;1680;1578
136;50;Jasi;1550;0;1550;1550
36;40;Jan Patrick;1549;-16;1565;1549
107;40;Christopher;1518;0;1518;1518
251;60;Alex M.;1496;-6;1502;1496
31;40;Valeria;1495;0;1495;1495
262;60;Simone;1484;0;1484;1484
306;60;Dragan ;1454;60;1394;1454
210;40;Lisa-Sophie;1402;-52;1454;1402
258;50;Fabricio;1396;0;1396;1396
197;50;Agustin;1394;0;1394;1394
175;40;Cesar;1392;48;1344;1392
249;50;Jim;1383;60;1323;1383
222;40;Andreas;1377;0;1377;1377
242;40;Markus F.;1377;12;1345;1377
230;60;Stanislav K.;1376;0;1376;1376
238;50;Gleb;1343;-45;1388;1343
281;60;Patrick S.;1318;0;1318;1318
307;60;Balacz;1318;60;1208;1318
220;40;Steffen;1300;-72;1372;1300
194;40;Daria;1284;0;1284;1284
170;40;Ilia A.;1278;0;1278;1278
182;50;Markus S.;1274;-10;1284;1274
278;50;Ahmed;1272;0;1252;1272
159;50;Mark;1245;0;1245;1245
48;40;Kate;1244;0;1244;1244
34;40;Arina;1236;36;1200;1236
135;50;Christian H.;1290;72;1218;1290
299;60;Hugo;1214;54;1160;1214
246;60;Malte;1212;0;1212;1212
81;40;Ilia;1204;-8;1212;1204
264;60;Misha;1201;0;1201;1201
161;40;Margarita;1201;50;1151;1201
315;60;Christopher S.;1198;0;1198;1198
38;40;Anna;1195;0;1195;1195
72;40;Konstantin;1188;-4;1192;1188
42;40;Lucy;1183;-8;1171;1183
141;40;Patrick;1164;0;1164;1164
267;50;Maria K.;1163;-55;1218;1163
303;60;Manuela;1150;0;1150;1150
296;60;Hesham;1149;0;1149;1149
218;50;Vanya Z.;1145;0;1145;1145
195;60;Simone A.;1130;0;1130;1130
96;40;Chris;1129;0;1129;1129
165;40;Aleksei;1119;52;987;1119
110;40;Nadja;1107;-12;1119;1107
109;40;Osman;1100;0;1100;1100
308;60;Ilya P.;1082;0;1082;1082
137;40;Nico;1071;4;1047;1071
287;60;Sergiu;1030;0;1030;1030
219;60;Guilherme;1012;0;1012;1012
298;60;Thomas F.;990;0;990;990
289;60;Carina;974;0;974;974
